graph_name,alg_name,time,number_of_colors
fence,ConnectedSequential,505496,2
fence,ConnectedSequential,242662,2
fence,ConnectedSequential,218535,2
fence,ConnectedSequential,207264,2
fence,ConnectedSequential,232790,2
fence,ConnectedSequential,203973,2
fence,ConnectedSequential,200946,2
fence,ConnectedSequential,200999,2
fence,ConnectedSequential,201164,2
fence,ConnectedSequential,204019,2
fence,ConnectedSequential,202062,2
fence,ConnectedSequential,202807,2
fence,ConnectedSequential,198714,2
fence,ConnectedSequential,232615,2
fence,ConnectedSequential,253924,2
fence,ConnectedSequential,257787,2
fence,ConnectedSequential,201111,2
fence,ConnectedSequential,200975,2
fence,ConnectedSequential,199342,2
fence,ConnectedSequential,197724,2
fence,ConnectedSequential,190704,2
fence,ConnectedSequential,183289,2
fence,ConnectedSequential,192753,2
fence,ConnectedSequential,201123,2
fence,ConnectedSequential,182948,2
fence,ConnectedSequential,184994,2
fence,ConnectedSequential,182105,2
fence,ConnectedSequential,181055,2
fence,ConnectedSequential,182390,2
fence,ConnectedSequential,186070,2
fence,ConnectedSequential,186370,2
fence,ConnectedSequential,182240,2
fence,ConnectedSequential,184078,2
fence,ConnectedSequential,185021,2
fence,ConnectedSequential,184065,2
fence,ConnectedSequential,186461,2
fence,ConnectedSequential,186224,2
fence,ConnectedSequential,205111,2
fence,ConnectedSequential,187361,2
fence,ConnectedSequential,194553,2
fence,ConnectedSequential,184522,2
fence,ConnectedSequential,183873,2
fence,ConnectedSequential,183694,2
fence,ConnectedSequential,182872,2
fence,ConnectedSequential,186071,2
fence,ConnectedSequential,199308,2
fence,ConnectedSequential,189612,2
fence,ConnectedSequential,183541,2
fence,ConnectedSequential,182656,2
fence,ConnectedSequential,181136,2
fence,ConnectedSequential,201101,2
fence,ConnectedSequential,184679,2
fence,ConnectedSequential,182406,2
fence,ConnectedSequential,183725,2
fence,ConnectedSequential,179818,2
fence,ConnectedSequential,149547,2
fence,ConnectedSequential,240998,2
fence,ConnectedSequential,156498,2
fence,ConnectedSequential,155170,2
fence,ConnectedSequential,150147,2
fence,ConnectedSequential,151639,2
fence,ConnectedSequential,149832,2
fence,ConnectedSequential,150160,2
fence,ConnectedSequential,148750,2
fence,ConnectedSequential,150522,2
fence,ConnectedSequential,149108,2
fence,ConnectedSequential,156334,2
fence,ConnectedSequential,146936,2
fence,ConnectedSequential,148864,2
fence,ConnectedSequential,148119,2
fence,ConnectedSequential,111657,2
fence,ConnectedSequential,111989,2
fence,ConnectedSequential,113462,2
fence,ConnectedSequential,115856,2
fence,ConnectedSequential,113702,2
fence,ConnectedSequential,112626,2
fence,ConnectedSequential,112815,2
fence,ConnectedSequential,112146,2
fence,ConnectedSequential,113025,2
fence,ConnectedSequential,112793,2
fence,ConnectedSequential,113252,2
fence,ConnectedSequential,112346,2
fence,ConnectedSequential,115970,2
fence,ConnectedSequential,112127,2
fence,ConnectedSequential,112590,2
fence,ConnectedSequential,115529,2
fence,ConnectedSequential,115020,2
fence,ConnectedSequential,118612,2
fence,ConnectedSequential,125290,2
fence,ConnectedSequential,89826,2
fence,ConnectedSequential,80304,2
fence,ConnectedSequential,86961,2
fence,ConnectedSequential,86145,2
fence,ConnectedSequential,106922,2
fence,ConnectedSequential,79876,2
fence,ConnectedSequential,78176,2
fence,ConnectedSequential,78243,2
fence,ConnectedSequential,77745,2
fence,ConnectedSequential,77073,2
fence,ConnectedSequential,77298,2
fence,ConnectedSequential,78584,2
fence,ConnectedSequential,78448,2
fence,ConnectedSequential,77637,2
fence,ConnectedSequential,78317,2
fence,ConnectedSequential,77391,2
fence,ConnectedSequential,77761,2
fence,ConnectedSequential,78539,2
fence,ConnectedSequential,77636,2
fence,ConnectedSequential,77316,2
fence,ConnectedSequential,77801,2
fence,ConnectedSequential,77826,2
