graph_name,alg_name,time,number_of_colors,coloring
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[1, 1, 1, 1, 1, 0, 0]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[1, 1, 1, 1, 1, 0, 0]"
bipartite,ConnectedSequential,1504400,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[1, 1, 1, 1, 1, 0, 0]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[1, 1, 1, 1, 1, 0, 0]"
bipartite,ConnectedSequential,0,2,"[1, 1, 1, 1, 1, 0, 0]"
bipartite,ConnectedSequential,1005300,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,1003100,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,1007600,2,"[1, 1, 1, 1, 1, 0, 0]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[1, 1, 1, 1, 1, 0, 0]"
bipartite,ConnectedSequential,0,2,"[1, 1, 1, 1, 1, 0, 0]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[1, 1, 1, 1, 1, 0, 0]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[1, 1, 1, 1, 1, 0, 0]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[1, 1, 1, 1, 1, 0, 0]"
bipartite,ConnectedSequential,0,2,"[1, 1, 1, 1, 1, 0, 0]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
bipartite,ConnectedSequential,0,2,"[0, 0, 0, 0, 0, 1, 1]"
